id,city,lat,lng,country,iso2,capital
1,Berlin,52.5167,13.3833,Germany,DE,primary
2,Hamburg,53.55,10,Germany,DE,admin
3,Munich,48.1372,11.5755,Germany,DE,admin
4,Cologne,50.9422,6.9578,Germany,DE,
5,Frankfurt,50.1136,8.6797,Germany,DE,minor
6,Bremen,53.1153,8.7975,Germany,DE,admin
7,Düsseldorf,51.2311,6.7724,Germany,DE,admin
8,Stuttgart,48.7761,9.1775,Germany,DE,admin
9,Leipzig,51.3333,12.3833,Germany,DE,minor
10,Dortmund,51.5139,7.4653,Germany,DE,minor
11,Essen,51.4508,7.0131,Germany,DE,minor
12,Dresden,51.05,13.74,Germany,DE,admin
13,Hannover,52.3744,9.7386,Germany,DE,admin
14,Nuremberg,49.4539,11.0775,Germany,DE,minor
15,Duisburg,51.4322,6.7611,Germany,DE,minor
16,Bochum,51.4833,7.2167,Germany,DE,minor
17,Wuppertal,51.2667,7.1833,Germany,DE,minor
18,Bielefeld,52.0167,8.5333,Germany,DE,minor
19,Bonn,50.7339,7.0997,Germany,DE,minor
20,Münster,51.9625,7.6256,Germany,DE,minor
21,Karlsruhe,49.0167,8.4,Germany,DE,minor
22,Mannheim,49.4878,8.4661,Germany,DE,minor
23,Augsburg,48.3717,10.8983,Germany,DE,minor
24,Kassel,51.3166,9.4912,Germany,DE,minor
25,Wiesbaden,50.0825,8.24,Germany,DE,admin
26,Mönchengladbach,51.2,6.4333,Germany,DE,minor
27,Gelsenkirchen,51.5167,7.1,Germany,DE,minor
28,Braunschweig,52.2692,10.5211,Germany,DE,minor
29,Aachen,50.7762,6.0838,Germany,DE,minor
30,Kiel,54.3233,10.1394,Germany,DE,admin
31,Chemnitz,50.8333,12.9167,Germany,DE,minor
32,Halle,51.4828,11.9697,Germany,DE,minor
33,Magdeburg,52.1278,11.6292,Germany,DE,admin
34,Freiburg im Breisgau,47.9947,7.8497,Germany,DE,minor
35,Krefeld,51.3333,6.5667,Germany,DE,minor
36,Mainz,50,8.2667,Germany,DE,admin
37,Lübeck,53.8697,10.6864,Germany,DE,minor
38,Oberhausen,51.4699,6.8514,Germany,DE,minor
39,Rostock,54.0833,12.1333,Germany,DE,
40,Erfurt,50.9787,11.0328,Germany,DE,admin
41,Hagen,51.3594,7.475,Germany,DE,minor
42,Potsdam,52.4,13.0667,Germany,DE,admin
43,Saarbrücken,49.2333,7,Germany,DE,admin
44,Hamm,51.6667,7.8167,Germany,DE,minor
45,Ludwigshafen,49.4811,8.4353,Germany,DE,minor
46,Mülheim,51.4275,6.8825,Germany,DE,minor
47,Oldenburg,53.1439,8.2139,Germany,DE,minor
48,Osnabrück,52.2789,8.0431,Germany,DE,minor
49,Leverkusen,51.0333,6.9833,Germany,DE,minor
50,Heidelberg,49.4122,8.71,Germany,DE,minor
51,Solingen,51.1667,7.0833,Germany,DE,minor
52,Darmstadt,49.8667,8.65,Germany,DE,minor
53,Herne,51.5426,7.219,Germany,DE,minor
54,Neuss,51.2003,6.6939,Germany,DE,minor
55,Regensburg,49.0167,12.0833,Germany,DE,minor
56,Paderborn,51.7167,8.7667,Germany,DE,minor
57,Ingolstadt,48.7636,11.4261,Germany,DE,minor
58,Würzburg,49.7944,9.9294,Germany,DE,minor
59,Fürth,49.4783,10.9903,Germany,DE,minor
60,Ulm,48.3984,9.9916,Germany,DE,minor
61,Heilbronn,49.1404,9.218,Germany,DE,minor
62,Pforzheim,48.895,8.705,Germany,DE,minor
63,Wolfsburg,52.4231,10.7872,Germany,DE,minor
64,Göttingen,51.5339,9.9356,Germany,DE,minor
65,Bottrop,51.5232,6.9253,Germany,DE,minor
66,Reutlingen,48.4833,9.2167,Germany,DE,minor
67,Koblenz,50.3597,7.5978,Germany,DE,minor
68,Bremerhaven,53.55,8.5833,Germany,DE,
69,Recklinghausen,51.6167,7.2,Germany,DE,minor
70,Bergisch Gladbach,50.9917,7.1367,Germany,DE,minor
71,Erlangen,49.5964,11.0044,Germany,DE,minor
72,Jena,50.9272,11.5864,Germany,DE,minor
73,Remscheid,51.1802,7.1872,Germany,DE,minor
74,Trier,49.7567,6.6414,Germany,DE,minor
75,Salzgitter,52.1503,10.3593,Germany,DE,minor
76,Moers,51.4592,6.6197,Germany,DE,
77,Siegen,50.8756,8.0167,Germany,DE,minor
78,Hildesheim,52.15,9.95,Germany,DE,minor
79,Cottbus,51.7606,14.3342,Germany,DE,minor
80,Gütersloh,51.9,8.3833,Germany,DE,minor
81,Kaiserslautern,49.4447,7.7689,Germany,DE,minor
82,Witten,51.4333,7.3333,Germany,DE,
83,Hanau,50.1328,8.9169,Germany,DE,minor
84,Schwerin,53.6333,11.4167,Germany,DE,admin
85,Gera,50.8782,12.0824,Germany,DE,minor
86,Esslingen,48.7406,9.3108,Germany,DE,minor
87,Ludwigsburg,48.8975,9.1919,Germany,DE,minor
88,Iserlohn,51.3833,7.6667,Germany,DE,
89,Düren,50.8,6.4833,Germany,DE,minor
90,Tübingen,48.52,9.0556,Germany,DE,minor
91,Flensburg,54.7819,9.4367,Germany,DE,minor
92,Zwickau,50.7189,12.4961,Germany,DE,minor
93,Gießen,50.5833,8.6667,Germany,DE,minor
94,Ratingen,51.3,6.85,Germany,DE,
95,Lünen,51.6167,7.5167,Germany,DE,
96,Villingen-Schwenningen,48.0603,8.4586,Germany,DE,minor
97,Konstanz,47.6633,9.1753,Germany,DE,
98,Marl,51.6667,7.1167,Germany,DE,
99,Worms,49.6319,8.3653,Germany,DE,minor
100,Velbert,51.34,7.0416,Germany,DE,
101,Minden,52.2883,8.9167,Germany,DE,minor
102,Dessau-Roßlau,51.8333,12.2333,Germany,DE,minor
103,Neumünster,54.0714,9.99,Germany,DE,minor
104,Norderstedt,53.7064,10.0103,Germany,DE,
105,Delmenhorst,53.0506,8.6317,Germany,DE,minor
106,Bamberg,49.8917,10.8917,Germany,DE,minor
107,Viersen,51.2556,6.3917,Germany,DE,minor
108,Marburg,50.8167,8.7667,Germany,DE,minor
109,Rheine,52.2833,7.4333,Germany,DE,
110,Wilhelmshaven,53.5167,8.1333,Germany,DE,minor
111,Gladbeck,51.5713,6.9827,Germany,DE,
112,Lüneburg,53.2525,10.4144,Germany,DE,minor
113,Troisdorf,50.8161,7.1556,Germany,DE,
114,Dorsten,51.66,6.9642,Germany,DE,
115,Bayreuth,49.9481,11.5783,Germany,DE,minor
116,Detmold,51.9378,8.8833,Germany,DE,minor
117,Arnsberg,51.3967,8.0644,Germany,DE,
118,Castrop-Rauxel,51.55,7.3167,Germany,DE,
119,Lüdenscheid,51.2198,7.6273,Germany,DE,minor
120,Landshut,48.5397,12.1508,Germany,DE,minor
121,Brandenburg,52.4117,12.5561,Germany,DE,minor
122,Bocholt,51.8333,6.6167,Germany,DE,
123,Aschaffenburg,49.9757,9.1478,Germany,DE,minor
124,Celle,52.6256,10.0825,Germany,DE,minor
125,Kempten,47.7333,10.3167,Germany,DE,minor
126,Fulda,50.5528,9.6775,Germany,DE,minor
127,Aalen,48.8372,10.0936,Germany,DE,minor
128,Lippstadt,51.6667,8.35,Germany,DE,
129,Dinslaken,51.5667,6.7333,Germany,DE,
130,Herford,52.1146,8.6734,Germany,DE,minor
131,Kerpen,50.8719,6.6961,Germany,DE,
132,Rüsselsheim,49.995,8.4119,Germany,DE,
133,Weimar,50.9833,11.3167,Germany,DE,minor
134,Plauen,50.495,12.1383,Germany,DE,minor
135,Sindelfingen,48.7133,9.0028,Germany,DE,
136,Neuwied,50.4286,7.4614,Germany,DE,minor
137,Dormagen,51.0964,6.84,Germany,DE,
138,Neubrandenburg,53.5569,13.2608,Germany,DE,minor
139,Grevenbroich,51.0883,6.5875,Germany,DE,
140,Rosenheim,47.8561,12.1289,Germany,DE,minor
141,Herten,51.6,7.1333,Germany,DE,
142,Bergheim,50.9667,6.65,Germany,DE,minor
143,Schwäbisch Gmünd,48.8,9.8,Germany,DE,
144,Friedrichshafen,47.6542,9.4792,Germany,DE,
145,Garbsen,52.4183,9.5981,Germany,DE,
146,Wesel,51.6586,6.6178,Germany,DE,minor
147,Hürth,50.8775,6.8761,Germany,DE,
148,Offenburg,48.4708,7.9408,Germany,DE,minor
149,Stralsund,54.3092,13.0819,Germany,DE,minor
150,Greifswald,54.0833,13.3833,Germany,DE,minor
151,Langenfeld,51.1167,6.95,Germany,DE,
152,Neu-Ulm,48.3833,10,Germany,DE,minor
153,Unna,51.5347,7.6889,Germany,DE,minor
154,Euskirchen,50.6613,6.7873,Germany,DE,minor
155,Frankfurt (Oder),52.35,14.55,Germany,DE,minor
156,Göppingen,48.7025,9.6528,Germany,DE,minor
157,Hameln,52.1031,9.36,Germany,DE,minor
158,Stolberg,50.7667,6.2333,Germany,DE,
159,Eschweiler,50.8167,6.2833,Germany,DE,
160,Görlitz,51.1528,14.9872,Germany,DE,minor
161,Langenhagen,52.4394,9.74,Germany,DE,
162,Meerbusch,51.2667,6.6667,Germany,DE,
163,Sankt Augustin,50.77,7.1867,Germany,DE,
164,Hilden,51.1714,6.9394,Germany,DE,
165,Waiblingen,48.8303,9.3169,Germany,DE,minor
166,Baden-Baden,48.7619,8.2408,Germany,DE,minor
167,Hattingen,51.3992,7.1858,Germany,DE,
168,Lingen,52.5233,7.3172,Germany,DE,
169,Bad Homburg,50.2292,8.6105,Germany,DE,minor
170,Bad Salzuflen,52.0875,8.7506,Germany,DE,
171,Pulheim,51,6.8,Germany,DE,
172,Schweinfurt,50.05,10.2333,Germany,DE,
173,Nordhorn,52.4333,7.0667,Germany,DE,minor
174,Neustadt,49.3443,8.1952,Germany,DE,minor
175,Wetzlar,50.5667,8.5,Germany,DE,minor
176,Ahlen,51.7633,7.8911,Germany,DE,
177,Frechen,50.9167,6.8167,Germany,DE,
178,Passau,48.5667,13.4667,Germany,DE,minor
179,Wolfenbüttel,52.1622,10.5369,Germany,DE,minor
180,Ibbenbüren,52.2778,7.7167,Germany,DE,
181,Kleve,51.79,6.14,Germany,DE,minor
182,Bad Kreuznach,49.8469,7.8669,Germany,DE,minor
183,Goslar,51.906,10.4292,Germany,DE,minor
184,Gummersbach,51.0333,7.5667,Germany,DE,minor
185,Ravensburg,47.7831,9.6114,Germany,DE,minor
186,Willich,51.2631,6.5492,Germany,DE,
187,Speyer,49.3194,8.4311,Germany,DE,minor
188,Böblingen,48.6833,9,Germany,DE,minor
189,Peine,52.3203,10.2336,Germany,DE,minor
